**** 6 ****
60
1;4;1;2;
8;6;1;2;
10;4;1;2;
3;4;1;2;
9;3;1;2;
7;7;1;2;
1;5;1;2;
6;8;1;2;
7;5;1;2;
2;4;1;2;
9;6;1;2;
8;5;1;2;
8;6;1;2;
2;8;1;2;
2;7;1;2;
5;2;1;2;
1;8;1;2;
6;8;1;2;
5;8;1;2;
6;5;1;2;
3;3;1;2;
9;2;1;2;
9;5;1;2;
3;8;1;2;
2;6;1;2;
9;8;1;2;
3;4;1;2;
8;7;1;2;
7;2;1;2;
4;4;1;2;
1;1;1;2;
3;5;1;2;
1;3;1;2;
8;10;1;2;
1;1;1;2;
3;1;1;2;
3;10;1;2;
9;10;1;2;
3;10;1;2;
8;5;1;2;
9;5;1;2;
9;10;1;2;
9;2;1;2;
6;8;1;2;
5;6;1;2;
3;4;1;2;
8;4;1;2;
10;10;1;2;
3;5;1;2;
2;10;1;2;
7;6;1;2;
4;9;1;2;
8;6;1;2;
3;4;1;2;
3;8;1;2;
1;1;1;2;
6;10;1;2;
6;5;1;2;
7;7;1;2;
9;4;1;2;
**** EOF ****
