**** 10 ****
100
7;10;1;2;
5;10;1;2;
4;3;1;2;
7;2;1;2;
10;6;1;2;
5;4;1;2;
4;1;1;2;
7;2;1;2;
3;4;1;2;
8;9;1;2;
8;10;1;2;
6;6;1;2;
4;2;1;2;
2;1;1;2;
7;3;1;2;
10;1;1;2;
5;2;1;2;
2;1;1;2;
2;1;1;2;
9;5;1;2;
4;9;1;2;
9;6;1;2;
3;3;1;2;
5;2;1;2;
4;1;1;2;
6;4;1;2;
3;4;1;2;
7;3;1;2;
10;6;1;2;
7;9;1;2;
2;4;1;2;
1;9;1;2;
4;6;1;2;
10;8;1;2;
5;3;1;2;
10;10;1;2;
1;6;1;2;
9;4;1;2;
2;9;1;2;
3;5;1;2;
9;7;1;2;
10;6;1;2;
5;3;1;2;
8;3;1;2;
2;5;1;2;
1;5;1;2;
9;3;1;2;
5;1;1;2;
10;3;1;2;
1;4;1;2;
5;1;1;2;
1;2;1;2;
10;7;1;2;
1;4;1;2;
2;1;1;2;
6;9;1;2;
9;5;1;2;
2;10;1;2;
8;2;1;2;
1;8;1;2;
8;2;1;2;
2;3;1;2;
9;8;1;2;
3;3;1;2;
4;2;1;2;
5;7;1;2;
3;9;1;2;
6;4;1;2;
3;8;1;2;
7;2;1;2;
2;6;1;2;
5;10;1;2;
8;6;1;2;
1;8;1;2;
3;3;1;2;
4;6;1;2;
6;3;1;2;
5;7;1;2;
1;4;1;2;
1;3;1;2;
4;4;1;2;
3;4;1;2;
1;8;1;2;
2;8;1;2;
4;7;1;2;
3;8;1;2;
4;1;1;2;
9;8;1;2;
6;9;1;2;
6;6;1;2;
4;6;1;2;
2;8;1;2;
4;7;1;2;
7;3;1;2;
9;7;1;2;
6;10;1;2;
10;6;1;2;
2;5;1;2;
8;7;1;2;
8;1;1;2;
**** EOF ****
